"NtsbNo","EventType","Mkey","EventDate","City","State","Country","ReportNo","N","HasSafetyRec","ReportType","OriginalPublishDate","HighestInjuryLevel","FatalInjuryCount","SeriousInjuryCount","MinorInjuryCount","ProbableCause","EventID","Latitude","Longitude","Make","Model","AirCraftCategory","AirportID","AirportName","AmateurBuilt","NumberOfEngines","Scheduled","PurposeOfFlight","FAR","AirCraftDamage","WeatherCondition","Operator","ReportStatus","RepGenFlag","DocketUrl","DocketPublishDate",
"GAA25WA161","ACC","200170","2025-05-17T12:40:00Z","Eura","","Finland","","OE-XOS, ES-ETR","FALSE","None","","Fatal","5","0","0","","","0","0","ROBINSON, ROBINSON","R44, R44","HELI,HELI","EFEU","","FALSE,FALSE",",","",",","NUSN,NUSN","Destroyed,Destroyed","",",","N/A","FALSE","","",
"ERA25MA171","ACC","199991","2025-04-10T15:15:00Z","Jersey City","New Jersey","United States","","N216MH","FALSE","DirectorBrief","","Fatal","6","0","0","","","40.728895","-74.027206","BELL","206L-4","HELI","","","FALSE","1","NSCH","AOBV","091","Destroyed","VMC","","In work","FALSE","","",
"WPR25FA114","ACC","199881","2025-03-19T12:28:00Z","Mountain Home Park","Washington","United States","","N23SD","FALSE","DirectorBrief","","Fatal","1","0","0","","","46.236369","-117.93526","BELL","206B II","HELI","","","FALSE","1","","AAPL","137","Substantial","VMC","NORTH WIND AVIATION LLC","In work","FALSE","","",
"CEN25FA124","ACC","199861","2025-03-15T15:00:00Z","Danville","Virginia","United States","","N331ES","FALSE","DirectorBrief","","Fatal","1","0","0","","","36.649272","-79.494058","ROBINSON HELICOPTER","R44","HELI","N/A","","FALSE","1","","PERS","091","Destroyed","IMC","","In work","FALSE","","",
"ERA25LA144","ACC","199857","2025-03-14T07:00:00Z","Mogadore","Ohio","United States","","N262LH","FALSE","DirectorBrief","","Fatal","1","0","0","","","41.06071","-81.375438","SCHWEIZER","269C","HELI","","","FALSE","1","","PERS","091","Substantial","VMC","NEO HELICOPTER ACADEMY LLC","In work","FALSE","","",
"CEN25MA115","ACC","199825","2025-03-10T12:37:00Z","Canton","Mississippi","United States","","N835CS","FALSE","DirectorBrief","","Fatal","3","0","0","","","32.559192","-89.907614","EUROCOPTER DEUTSCHLAND GMBH","EC 135 P2+","HELI","","","FALSE","2","NSCH","BUS","135","Destroyed","VMC","MED-TRANS CORP","In work","FALSE","","",
"CEN25FA104","ACC","199774","2025-02-27T14:19:00Z","Uvalde","Texas","United States","","N144SG","FALSE","DirectorBrief","","Fatal","2","0","0","","","29.241944","-100.14472","ROBINSON HELICOPTER COMPANY","R44","HELI","","","FALSE","1","","AOBV","091","Substantial","VMC","HOLT HELICOPTERS INC","In work","FALSE","","",
"WPR25FA100","ACC","199728","2025-02-20T17:40:00Z","Ririe","Idaho","United States","","N118LG","FALSE","DirectorBrief","","Fatal","1","1","0","","","43.57196","-111.73587","BELL HELICOPTER TEXTRON CANADA","505","HELI","","","FALSE","1","","PERS","091","Substantial","VMC","","In work","FALSE","","",
"GAA25WA091","ACC","199692","2025-02-09T13:20:00Z","Dippenricht","","Germany","","D-HSEP","FALSE","None","","Fatal","2","0","0","","","0","0","HUGHES","269C","HELI","","","FALSE","1","","PERS","NUSN","Destroyed","","Franken-Helikopters","N/A","FALSE","","",
"GAA25WA086","ACC","199675","2025-02-06T03:20:00Z","Bentong Helicopter Landing Site","","Malaysia","","PK-LUV","FALSE","None","","Fatal","1","0","0","","","0","0","BELL","206L-4","HELI","","","FALSE","","","","NUSC","Destroyed","","","N/A","FALSE","","",
"GAA25WA084","ACC","199671","2025-02-05T09:30:00Z","Polokwane Civil Aerodrome","","South Africa","","ZS-RAC","FALSE","None","","Fatal","1","0","0","","","0","0","BELL","206","HELI","","","FALSE","","","","091","Destroyed","","","N/A","FALSE","","",
"GAA25WA077","ACC","199645","2025-02-01T14:00:00Z","Pacific Ocean","","Ecuador","","HC-CQY","FALSE","None","","Fatal","1","1","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","1","","AOBV","UNK","Substantial","","","N/A","FALSE","","",
"DCA25MA108","ACC","199620","2025-01-29T21:48:00Z","Washington","District of Columbia","United States","","N709PS, UNREG","TRUE","Report","","Fatal","67","0","0","","","38.845339","-77.024187","BOMBARDIER INC, SIKORSKY","CL-600-2C10, UH60","AIR,HELI","","","FALSE,FALSE","2,","SCHD",",","121,ARMF","Destroyed,Destroyed","VMC","PSA Airlines,Army Department of Defense","In work","FALSE","","",
"GAA25WA098","ACC","199771","2025-01-27T17:00:00Z","Cruzilia","","Brazil","","PR-TIB","FALSE","None","","Fatal","3","0","0","","","0","0","ROBINSON","R44","HELI","","","FALSE","","","AAPL","NUSN","Substantial","","","N/A","FALSE","","",
"GAA25WA064","ACC","199563","2025-01-19T21:30:00Z","Paredones Commune","","Chile","","N622LT","FALSE","None","","Fatal","3","0","0","","","0","0","BELL TEXTRON CANADA LTD","407","HELI","","","FALSE","1","","","UNK","Destroyed","","","N/A","FALSE","","",
